,Dutch
0,vriendje
1,onmiddellijk
2,bereid
3,bedanken
4,twintig
5,beeld
6,verklaring
7,woon
8,twaalf
9,stelt
10,beweging
11,duren
12,patiënt
13,thee
14,indruk
15,totaal
16,Parijs
17,ballen
18,dorp
19,stukje
20,leider
21,zwaard
22,kus
23,taxi
24,gevoelens
25,verdachte
26,Engels
27,zware
28,vlak
29,soldaten
30,zagen
31,lol
32,langzaam
33,hangen
34,keuken
35,wind
36,cel
37,breken
38,vergeef
39,geluid
40,slaapt
41,moorden
42,aangenaam
43,geholpen
44,beest
45,bier
46,actie
47,dieren
48,krant
49,draag
50,leidt
51,ontvangen
52,minuut
53,levens
54,appartement
55,draaien
56,vakantie
57,leer
58,sterft
59,mist
60,vecht
61,passen
62,jurk
63,privé
64,hoer
65,chef
66,wraak
67,sexy
68,gauw
69,slot
70,afstand
71,Washington
72,gratis
73,wint
74,reed
75,strijd
76,ervaring
77,honderd
78,bouwen
79,leiding
80,schoon
81,geslagen
82,draait
83,belangrijke
84,risico
85,trap
86,prinses
87,verantwoordelijk
88,neuken
89,goedenavond
90,slachtoffers
91,bezit
92,noemde
93,armen
94,roep
95,schoot
96,vertrek
97,restaurant
98,geniet
99,gepraat
