,Dutch,POS,Translation
200,hallo,Proper noun,Hello
201,leuk,Adjective,nice
202,sorry,Adjective,Sorry
203,alle,Determiner,all
204,elkaar,Pronoun,each other
205,toe,Preposition,to
206,wist,Verb,knew
207,zegt,Verb,say
208,bedoel,Verb,mean
209,blijf,Verb,stay
210,alsjeblieft,Adverb,please
211,lang,Adjective,long
212,meneer,Noun,sir
213,ziet,Verb,sees
214,maakt,Verb,makes
215,luister,Noun,listen
216,dingen,Noun,stuff
217,mooi,Adjective,Nice
218,werd,Auxiliary,became
219,eerste,Adjective,first
220,graag,Adverb,Please
221,natuurlijk,Adjective,Naturally
222,houden,Verb,to hold
223,zonder,Preposition,without
224,steeds,Adverb,still
225,krijgen,Verb,to get
226,grote,Adjective,great
227,achter,Preposition,behind
228,helemaal,Adverb,absolutely
229,naam,Noun,name
230,gek,Adjective,crazy
231,blijven,Verb,to stay
232,onder,Preposition,below
233,vriend,Noun,friend
234,geweest,Auxiliary,been
235,kijken,Verb,to look
236,geven,Verb,to give
237,ging,Verb,went
238,vertellen,Verb,narrate
239,ooit,Adverb,ever
240,snel,Adjective,fast
241,hand,Noun,hand
242,idee,Noun,idea
243,goede,Adjective,good
244,auto,Noun,car
245,kwam,Verb,came
246,verdomme,Adjective,damn
247,beetje,Noun,bit
248,moest,Auxiliary,had to
249,kinderen,Noun,children
250,wanneer,Conjunction,when
251,gebeurd,Verb,happened
252,jongen,Noun,boy
253,bang,Adjective,anxious
254,vraag,Noun,ask
255,lijkt,Verb,seems
256,geweldig,Adjective,awesome
257,paar,Noun,couple
258,hoor,Interjection,hear
259,laatste,Adjective,last
260,deed,Verb,did
261,nieuwe,Adjective,new ones
262,vragen,Noun,to ask
263,kun,Auxiliary,can
264,zag,Verb,saw
265,zorgen,Verb,to assure
266,staan,Verb,to stand
267,wereld,Noun,world
268,eten,Verb,to eat
269,jongens,Noun,boys
270,enige,Determiner,only one
271,zelf,Adverb,yourself
272,want,Conjunction,because
273,nemen,Verb,to take
274,heen,Preposition,to
275,zo'n,Pronoun,Sun
276,beste,Adjective,Best
277,ken,Verb,know
278,vandaag,Adverb,Today
279,zelfs,Adverb,even
280,ie,Pronoun,that
281,gezegd,Verb,said
282,hadden,Verb,had
283,vertel,Noun,tell
284,eerst,Adverb,first
285,gevonden,Verb,found it
286,zoon,Noun,son
287,buiten,Preposition,outside
288,samen,Adverb,together
289,denken,Verb,think
290,geloof,Noun,believe
291,morgen,Adverb,tomorrow
292,geleden,Adverb,past
293,meisje,Noun,girl
294,thuis,Adverb,At home
295,denkt,Verb,thinks
296,rustig,Adjective,Calm
297,mannen,Noun,men
298,halen,Verb,to fetch
299,probleem,Noun,problem
